	TA	190.00000	191.00000	192.00000	193.00000	194.00000	195.00000	196.00000	197.00000	198.00000	199.00000	200.00000	201.00000	202.00000	203.00000	204.00000	205.00000	206.00000	207.00000	208.00000	209.00000	210.00000	211.00000	212.00000	213.00000	214.00000	215.00000	216.00000	217.00000	218.00000	219.00000	220.00000	221.00000	222.00000	223.00000	224.00000	225.00000	226.00000	227.00000	228.00000	229.00000	230.00000	231.00000	232.00000	233.00000	234.00000	235.00000	236.00000	237.00000	238.00000	239.00000	240.00000	241.00000	242.00000	243.00000	244.00000	245.00000	246.00000	247.00000	248.00000	249.00000	250.00000	251.00000	252.00000	253.00000	254.00000	255.00000	256.00000	257.00000	258.00000	259.00000	260.00000	261.00000	262.00000	263.00000	264.00000	265.00000	266.00000	267.00000	268.00000	269.00000	270.00000	271.00000	272.00000	273.00000	274.00000	275.00000	276.00000	277.00000	278.00000	279.00000	280.00000	281.00000	282.00000	283.00000	284.00000	285.00000	286.00000	287.00000	288.00000	289.00000	290.00000	291.00000	292.00000	293.00000	294.00000	295.00000	296.00000	297.00000	298.00000	299.00000	300.00000	301.00000	302.00000	303.00000	304.00000	305.00000	306.00000	307.00000	308.00000	309.00000	310.00000	311.00000	312.00000	313.00000	314.00000	315.00000	316.00000	317.00000	318.00000	319.00000	320.00000	321.00000	322.00000	323.00000	324.00000	325.00000	326.00000	327.00000	328.00000	329.00000	330.00000	331.00000	332.00000	333.00000	334.00000	335.00000	336.00000	337.00000	338.00000	339.00000	340.00000	341.00000	342.00000	343.00000	344.00000	345.00000	346.00000	347.00000	348.00000	349.00000	350.00000	351.00000	352.00000	353.00000	354.00000	355.00000	356.00000	357.00000	358.00000	359.00000	360.00000	361.00000	362.00000	363.00000	364.00000	365.00000	366.00000	367.00000	368.00000	369.00000	370.00000	371.00000	372.00000	373.00000	374.00000	375.00000	376.00000	377.00000	378.00000	379.00000	380.00000	381.00000	382.00000	383.00000	384.00000	385.00000	386.00000	387.00000	388.00000	389.00000	390.00000	391.00000	392.00000	393.00000	394.00000	395.00000	396.00000	397.00000	398.00000	399.00000	400.00000	401.00000	402.00000	403.00000	404.00000	405.00000	406.00000	407.00000	408.00000	409.00000	410.00000	411.00000	412.00000	413.00000	414.00000	415.00000	416.00000	417.00000	418.00000	419.00000	420.00000	421.00000	422.00000	423.00000	424.00000	425.00000	426.00000	427.00000	428.00000	429.00000	430.00000	431.00000	432.00000	433.00000	434.00000	435.00000	436.00000	437.00000	438.00000	439.00000	440.00000	441.00000	442.00000	443.00000	444.00000	445.00000	446.00000	447.00000	448.00000	449.00000	450.00000	451.00000	452.00000	453.00000	454.00000	455.00000	456.00000	457.00000	458.00000	459.00000	460.00000	461.00000	462.00000	463.00000	464.00000	465.00000	466.00000	467.00000	468.00000	469.00000	470.00000	471.00000	472.00000	473.00000	474.00000	475.00000	476.00000	477.00000	478.00000	479.00000	480.00000	481.00000	482.00000	483.00000	484.00000	485.00000	486.00000	487.00000	488.00000	489.00000	490.00000	491.00000	492.00000	493.00000	494.00000	495.00000	496.00000	497.00000	498.00000	499.00000	500.00000	501.00000	502.00000	503.00000	504.00000	505.00000	506.00000	507.00000	508.00000	509.00000	510.00000	511.00000	512.00000	513.00000	514.00000	515.00000	516.00000	517.00000	518.00000	519.00000	520.00000	521.00000	522.00000	523.00000	524.00000	525.00000	526.00000	527.00000	528.00000	529.00000	530.00000	531.00000	532.00000	533.00000	534.00000	535.00000	536.00000	537.00000	538.00000	539.00000	540.00000	541.00000	542.00000	543.00000	544.00000	545.00000	546.00000	547.00000	548.00000	549.00000	550.00000	551.00000	552.00000	553.00000	554.00000	555.00000	556.00000	557.00000	558.00000	559.00000	560.00000	561.00000	562.00000	563.00000	564.00000	565.00000	566.00000	567.00000	568.00000	569.00000	570.00000	571.00000	572.00000	573.00000	574.00000	575.00000	576.00000	577.00000	578.00000	579.00000	580.00000	581.00000	582.00000	583.00000	584.00000	585.00000	586.00000	587.00000	588.00000	589.00000	590.00000	591.00000	592.00000	593.00000	594.00000	595.00000	596.00000	597.00000	598.00000
2013-06-18_17-19-46-M	19,16	1,557588	1,635963	1,647205	1,609427	1,528492	1,441421	1,353748	1,283014	1,227047	1,187991	1,158805	1,13809	1,122386	1,109338	1,097871	1,084361	1,069125	1,050499	1,029191	1,004636	0,9762099	0,9448597	0,9112415	0,8761072	0,8409522	0,8069026	0,7743815	0,7420141	0,7089038	0,67548	0,6443677	0,6179203	0,5961616	0,5783342	0,5637487	0,5514429	0,5402824	0,5298521	0,519559	0,5091168	0,498406	0,4874066	0,4761192	0,4645902	0,4530639	0,4413385	0,4297474	0,418458	0,4075213	0,3972577	0,3877267	0,3789196	0,3709489	0,3636388	0,3572289	0,3515565	0,3465759	0,3422572	0,338483	0,3353999	0,33316	0,331505	0,3301335	0,3289445	0,3281294	0,3278582	0,328288	0,3289366	0,3296294	0,3300709	0,3306639	0,3315622	0,3327424	0,3343256	0,3357595	0,3368436	0,3379442	0,3389353	0,3397716	0,3401433	0,3401985	0,340006	0,3395039	0,3385537	0,3369855	0,3349498	0,3323165	0,3291886	0,3252604	0,3207759	0,3156409	0,3099798	0,3038205	0,2972063	0,2903186	0,2832745	0,2760097	0,2688272	0,2615941	0,2544852	0,247649	0,240929	0,2346999	0,2288219	0,2234562	0,2185761	0,214207	0,2102211	0,2066697	0,2034243	0,2004466	0,1976771	0,1950917	0,1926419	0,1903136	0,1880824	0,1860654	0,18405	0,1821115	0,1802694	0,1785146	0,1768841	0,1752308	0,1737776	0,1722782	0,1709583	0,1696191	0,1683207	0,1670828	0,1659054	0,1646935	0,1635708	0,1624087	0,1612717	0,1602041	0,1591094	0,1579852	0,1569333	0,155829	0,1547507	0,1537386	0,1524455	0,1513349	0,150183	0,1489562	0,1477603	0,1464713	0,1452738	0,1439241	0,1426247	0,1412966	0,1399652	0,1386499	0,1373006	0,1358173	0,1345404	0,1332404	0,1318367	0,1304083	0,1290047	0,1276033	0,1261247	0,1247138	0,1233512	0,1219835	0,1204868	0,1191385	0,1177018	0,1162684	0,1149296	0,1135753	0,1122348	0,1109393	0,1096732	0,108437	0,1071121	0,1058835	0,1046856	0,1035179	0,1024132	0,1011397	0,1000806	0,09891693	0,09788506	0,096791	0,09569016	0,09464496	0,09359216	0,09262121	0,09175448	0,09080994	0,08993376	0,08908284	0,08823438	0,08743931	0,08674406	0,08592948	0,08513367	0,08442634	0,08348441	0,08270956	0,08194669	0,08124699	0,08062731	0,07989924	0,07930146	0,07858492	0,07789733	0,07732735	0,07669182	0,07629517	0,07580508	0,0752494	0,07489775	0,07420166	0,07382715	0,07332931	0,07284128	0,07214624	0,07177915	0,07125428	0,07071458	0,07023198	0,06987364	0,06945848	0,06888936	0,06830723	0,06785825	0,06750309	0,06694908	0,06661154	0,06618778	0,06566552	0,06525	0,06481261	0,06443078	0,06407656	0,06364445	0,06317629	0,06293614	0,0623761	0,06216479	0,06178799	0,06144874	0,06105392	0,06070321	0,06035787	0,05999595	0,05956271	0,0591766	0,05869374	0,05832212	0,05802987	0,05763572	0,05727483	0,05679705	0,0563674	0,05606175	0,05562261	0,05522356	0,05499799	0,05472013	0,05440392	0,05406093	0,05381642	0,05334729	0,05312628	0,05285374	0,05247263	0,05207185	0,05193324	0,05123993	0,05098339	0,05071182	0,05042825	0,04996657	0,04982692	0,04954457	0,04927147	0,04894853	0,04879263	0,04834919	0,04813955	0,04782594	0,04745873	0,04718257	0,04689608	0,04660267	0,04637591	0,04596522	0,04571678	0,04549336	0,04503785	0,04474862	0,04459679	0,04401598	0,04378401	0,04381402	0,04339746	0,04310467	0,04272217	0,04255111	0,04242494	0,04227214	0,04197585	0,04178885	0,04146098	0,04118112	0,04111953	0,04080351	0,04058153	0,04008855	0,04000051	0,0397157	0,03933096	0,03923498	0,03889469	0,03881976	0,03847656	0,03823718	0,03814809	0,03780374	0,03762173	0,03757523	0,03715686	0,03674279	0,03674184	0,03631077	0,03630873	0,03602052	0,0358329	0,03552243	0,03549423	0,03504808	0,03506013	0,03471361	0,03450277	0,03444888	0,03409643	0,03381517	0,03383264	0,03374965	0,03338258	0,03322356	0,03301017	0,032793	0,03250929	0,03250147	0,03238978	0,0318473	0,03182867	0,03170269	0,03155581	0,03137861	0,03109723	0,03117145	0,03088365	0,03074599	0,03051595	0,03040267	0,03016016	0,03014642	0,02987136	0,02950363	0,02953702	0,02945031	0,02918936	0,0289559	0,02900817	0,02862358	0,0287707	0,02842338	0,02837599	0,0281871	0,02806167	0,02778932	0,0276295	0,02750792	0,0273321	0,02714365	0,02700538	0,02699633	0,02687398	0,02687114	0,02662605	0,02646322	0,0262213	0,02614793	0,02593946	0,02599037	0,0258874	0,02573936	0,0254749	0,02537651	0,02513488	0,02507655	0,02494379	0,02520484	0,02506538	0,02473908	0,02450365	0,02453385	0,02450818	0,02436719	0,02426976	0,02422028	0,02398239	0,0238134	0,02366731
2013-06-18_17-23-35-M	22,45	1,686568	1,788783	1,837502	1,805823	1,735344	1,648162	1,556082	1,478356	1,417606	1,374394	1,343231	1,322138	1,304809	1,28985	1,276363	1,263008	1,244727	1,223696	1,199095	1,170849	1,137583	1,101366	1,062448	1,021848	0,9811543	0,9413535	0,9038616	0,8659862	0,8274046	0,7884677	0,7529049	0,7218176	0,6966945	0,6763149	0,6595035	0,6451851	0,6323682	0,6202741	0,6083217	0,5961437	0,5837255	0,5709224	0,5579573	0,5445741	0,5310639	0,5175747	0,5041919	0,4909546	0,4783807	0,4664878	0,4554076	0,4452014	0,4358614	0,4273406	0,4199208	0,4133046	0,4075617	0,4024266	0,397967	0,3944822	0,3917741	0,3898003	0,3881743	0,3867527	0,3857853	0,3854429	0,3858133	0,3865946	0,3873432	0,3878122	0,3883861	0,3894076	0,3907523	0,39245	0,3941098	0,3952593	0,3964369	0,3977077	0,3985546	0,3989372	0,3989877	0,398817	0,3982718	0,3970442	0,3952637	0,3928556	0,3898242	0,3860108	0,3814925	0,3761768	0,3702065	0,3635599	0,356279	0,3485903	0,3406153	0,3323929	0,3240138	0,3155983	0,3070811	0,2988088	0,2907431	0,2830001	0,2757183	0,2689543	0,2627475	0,2571284	0,2519919	0,2474111	0,2432298	0,2394484	0,235987	0,2327516	0,2298198	0,2270285	0,2243422	0,2217738	0,2192689	0,2169429	0,2147068	0,2125268	0,2105118	0,2085669	0,2065764	0,2048364	0,2031285	0,20152	0,1999825	0,1984435	0,197054	0,1955802	0,1941895	0,1928424	0,1915672	0,1902481	0,1889717	0,1876213	0,1863168	0,1851276	0,1839133	0,182572	0,1812738	0,179928	0,1786355	0,1771686	0,1758629	0,1743077	0,172875	0,17143	0,1699676	0,1684058	0,1669051	0,165336	0,1637709	0,1621816	0,160544	0,1591173	0,1574109	0,1558148	0,1542442	0,1525999	0,1509257	0,1492701	0,1476497	0,1459963	0,1442435	0,1426234	0,1410197	0,1393107	0,1377285	0,1360367	0,1345074	0,1329094	0,1314166	0,1298738	0,1283799	0,1268622	0,1254146	0,1240036	0,1226583	0,1212865	0,1199004	0,1185792	0,1172741	0,1159535	0,114665	0,1134322	0,1121352	0,1109841	0,1098262	0,1087774	0,1078014	0,1066425	0,1056859	0,1047055	0,1037403	0,1027765	0,1018253	0,1008388	0,1000014	0,09904049	0,0980649	0,09721126	0,09648751	0,09564115	0,0949089	0,09400841	0,0932958	0,09258241	0,09172861	0,09106534	0,09042202	0,0898633	0,08920844	0,08858807	0,08794644	0,0873945	0,08687624	0,0862257	0,08567652	0,08507575	0,08450995	0,0839542	0,08338078	0,08291221	0,08230593	0,08173387	0,0811904	0,08061229	0,07996701	0,07945789	0,07900994	0,07851272	0,07794038	0,07743664	0,07705995	0,0764764	0,07602304	0,07546432	0,07498909	0,07450102	0,0740409	0,07371216	0,07336703	0,07276635	0,07237215	0,07203859	0,07157965	0,0711436	0,07062244	0,07017969	0,06976931	0,06928489	0,06889853	0,06839307	0,06785599	0,06739776	0,06695335	0,06648851	0,06602197	0,06558651	0,0652358	0,06504994	0,0645532	0,06413823	0,06373716	0,06331329	0,06303864	0,06252642	0,06227225	0,06183035	0,06144093	0,06085796	0,06051769	0,06023436	0,05979547	0,05948027	0,05894739	0,0588037	0,05856321	0,05812067	0,05800411	0,05735599	0,0571371	0,05668642	0,05645997	0,05603931	0,05558183	0,05513923	0,05483185	0,05456076	0,05430108	0,05390228	0,05348784	0,05306194	0,05282388	0,05230914	0,05205519	0,05190299	0,05157096	0,05120903	0,05062525	0,05058996	0,05031918	0,05003523	0,04993203	0,04953908	0,04921086	0,0489957	0,04861997	0,04825466	0,047945	0,04772715	0,04737488	0,04706047	0,04685646	0,04642858	0,04618393	0,04595055	0,0458083	0,04571878	0,04534894	0,04479339	0,04465035	0,04444067	0,04399481	0,0437116	0,04353787	0,04339844	0,04308889	0,0425371	0,04248709	0,04244775	0,04182247	0,04182414	0,04156622	0,04146404	0,04107979	0,04064695	0,04039242	0,04042158	0,03991397	0,03985921	0,03962938	0,03935398	0,03897963	0,03882989	0,03881134	0,03855125	0,03822052	0,03778647	0,03779041	0,03754915	0,03746097	0,03717465	0,0372499	0,0369288	0,03653163	0,03646575	0,03638829	0,03601719	0,03583543	0,03541921	0,03548201	0,03547887	0,03477459	0,03483595	0,03465866	0,0346322	0,0345354	0,03421752	0,03401199	0,03364569	0,0338465	0,0334193	0,03344244	0,03299708	0,03283661	0,0327256	0,03224267	0,03237179	0,03204882	0,03192198	0,03176215	0,03161685	0,03152376	0,03142176	0,03117102	0,03100027	0,03077507	0,03076169	0,0306418	0,03049933	0,03020748	0,03017901	0,02984998	0,02968587	0,02975728	0,02977297	0,02960447	0,02944536	0,02906509	0,02920196	0,02892097	0,02885723	0,02866432	0,02863663	0,02836468	0,0282063	0,02811414
2013-06-18_17-27-28-M	28,21	1,841826	1,967707	2,060975	2,084722	2,060745	1,976276	1,890151	1,805679	1,740179	1,689046	1,656828	1,634002	1,613749	1,599034	1,585716	1,569675	1,549258	1,52384	1,493377	1,458716	1,417737	1,372858	1,324012	1,273306	1,222713	1,173834	1,127228	1,080776	1,032537	0,98452	0,9398043	0,9014848	0,8704584	0,8452518	0,8240919	0,806434	0,7905725	0,7754411	0,760528	0,7454468	0,7299809	0,7140915	0,6977686	0,6812181	0,664475	0,6476523	0,6308955	0,6145371	0,5987736	0,5840466	0,5701596	0,5574329	0,5458559	0,5354317	0,5259496	0,5177355	0,5105006	0,5040737	0,4985499	0,4940543	0,4906667	0,4881105	0,486059	0,4842142	0,4829853	0,4826277	0,4830287	0,4839321	0,4847907	0,4853102	0,4860021	0,4872168	0,4888799	0,4910453	0,4929557	0,4943469	0,4957836	0,4973332	0,4983589	0,4988119	0,4988892	0,4986528	0,4978868	0,4964178	0,4941097	0,4910993	0,4872362	0,4824892	0,476848	0,4702811	0,462783	0,4544097	0,4453772	0,4356819	0,4257153	0,4154046	0,4049546	0,3942991	0,3837993	0,3734309	0,363408	0,3536741	0,3446631	0,3362304	0,3284844	0,3214276	0,3151871	0,3094345	0,3043122	0,299606	0,2954038	0,2913965	0,2877012	0,284209	0,2808791	0,2776855	0,2746516	0,2717206	0,2689122	0,2662303	0,2635989	0,2610958	0,2586901	0,2565073	0,2544124	0,2524112	0,2504907	0,248519	0,2467326	0,2449071	0,2431973	0,2415552	0,2398073	0,2382208	0,2366502	0,235064	0,2334453	0,2318162	0,2302662	0,2286963	0,2271393	0,2253761	0,2236812	0,2219891	0,2202019	0,2184485	0,2166865	0,2148832	0,213161	0,2112498	0,2093269	0,2074147	0,205365	0,2033874	0,2013626	0,1993164	0,1974322	0,1954601	0,1933176	0,1912738	0,1892143	0,1872438	0,1851923	0,1831469	0,181078	0,1790863	0,1770589	0,1749764	0,1730393	0,1710221	0,1689243	0,1669539	0,1650383	0,1631066	0,1612599	0,1593733	0,157566	0,1558522	0,1541261	0,1523704	0,1506666	0,1489768	0,1473188	0,1457705	0,1441627	0,1425878	0,1410256	0,1395091	0,1380701	0,1367065	0,1354089	0,134015	0,132716	0,1314548	0,1302162	0,129111	0,127891	0,1267254	0,1255349	0,1244276	0,1233286	0,1222011	0,1210644	0,1201405	0,1192039	0,1181472	0,1172068	0,1161587	0,1153071	0,1143472	0,113503	0,1127886	0,111875	0,1112267	0,1104262	0,1097065	0,1090101	0,108142	0,1075377	0,106937	0,1061181	0,1053901	0,1047203	0,1040709	0,1033023	0,1026337	0,1018848	0,1011089	0,1004271	0,09966978	0,09911364	0,09850382	0,09779204	0,09711268	0,09655	0,09596623	0,09529779	0,09471695	0,09413452	0,09354152	0,09295066	0,09247272	0,09210477	0,09149003	0,09095191	0,09035581	0,08985794	0,08936304	0,08876253	0,0880846	0,08755203	0,08694123	0,08640283	0,08570378	0,08517782	0,08459099	0,08394256	0,08346441	0,08289363	0,08236225	0,08186515	0,08147126	0,08101644	0,08034837	0,07984976	0,07936005	0,07897495	0,07839362	0,07792533	0,07761999	0,0770115	0,07642492	0,07588638	0,07546945	0,07499526	0,0744671	0,07400478	0,07373445	0,07334355	0,07302315	0,07250492	0,0719921	0,07155858	0,07111716	0,07071299	0,07015791	0,06975626	0,06925115	0,0687885	0,06832232	0,06800313	0,06750434	0,0669404	0,06640064	0,06628562	0,06548668	0,06517812	0,0650197	0,06464884	0,06395132	0,06365623	0,0633462	0,06310593	0,06269482	0,06231431	0,06191788	0,06169614	0,06110104	0,06094649	0,06037277	0,06005719	0,05962696	0,0592507	0,05904313	0,05863469	0,05820541	0,05781076	0,05758382	0,05718683	0,05697793	0,05668732	0,05622862	0,05574608	0,05556636	0,05499236	0,05485432	0,05442584	0,05439051	0,05384807	0,05343833	0,05326812	0,05287138	0,05264332	0,05231972	0,05208455	0,05140006	0,05140588	0,05098895	0,05085863	0,05027076	0,05020098	0,04992894	0,0494372	0,04905795	0,04878357	0,04851628	0,04831012	0,04827742	0,04762726	0,04745529	0,04727164	0,04678173	0,04663571	0,04626164	0,0461625	0,04615322	0,04564991	0,04545664	0,04517938	0,04518147	0,04472583	0,04449204	0,04426121	0,04408771	0,04367076	0,04362509	0,04327102	0,04322302	0,04292598	0,04269146	0,04245696	0,04216304	0,04205919	0,04183258	0,04160746	0,04155582	0,04107	0,04085429	0,04036392	0,04034619	0,04001973	0,03992743	0,03973067	0,039534	0,03925628	0,03907087	0,03887055	0,03869333	0,03837482	0,03841211	0,03823514	0,03798763	0,03771258	0,03764648	0,03729173	0,03727407	0,03711884	0,03705067	0,03683287	0,03669336	0,03640866	0,03625826	0,03598792	0,0359042	0,03567173	0,03555097	0,03544929	0,035233	0,03509559
2013-06-18_17-31-11-M	30,56	1,899713	2,042825	2,152325	2,188014	2,166207	2,100132	2,008818	1,936025	1,869253	1,825019	1,785945	1,760396	1,744298	1,729116	1,715917	1,697598	1,678698	1,652287	1,619465	1,581682	1,537347	1,488713	1,436176	1,381873	1,326546	1,273768	1,222688	1,172388	1,12043	1,068729	1,020479	0,9791177	0,9450451	0,9177191	0,8950958	0,8758098	0,8585013	0,8421389	0,8260671	0,8096116	0,7928266	0,7756231	0,7579302	0,7400013	0,7218344	0,7036085	0,6854545	0,6676484	0,6504641	0,6343886	0,6195136	0,6057283	0,5930894	0,58162	0,5714641	0,5625699	0,5545964	0,5477093	0,5416158	0,5366744	0,5329934	0,5302326	0,5279765	0,5260894	0,5246779	0,5241942	0,5246117	0,5256727	0,5265623	0,527145	0,527844	0,5291299	0,5309368	0,5332896	0,5353447	0,5369098	0,5383964	0,5400354	0,5412091	0,5416136	0,5417214	0,5413586	0,5404931	0,5388575	0,5364732	0,5331697	0,5289354	0,5237269	0,5176269	0,5104127	0,502348	0,4933052	0,4834672	0,4729546	0,4620024	0,4507937	0,4394424	0,4279635	0,4165725	0,4053411	0,3944793	0,3839633	0,3741513	0,3649608	0,356636	0,3489161	0,3421336	0,3358968	0,3303707	0,3253551	0,3206616	0,3162835	0,3123832	0,3086047	0,3049507	0,3015558	0,298268	0,2950623	0,2919618	0,2890067	0,2861997	0,2836191	0,2809457	0,2785359	0,2761752	0,2740234	0,2718661	0,2698315	0,2678554	0,2659277	0,2640292	0,2622607	0,2604155	0,2586762	0,2569795	0,2552384	0,2534932	0,2518297	0,250094	0,2483837	0,2465588	0,244672	0,2428802	0,2411177	0,2392392	0,2372673	0,2353975	0,2335127	0,2314536	0,2293426	0,2272003	0,2251598	0,2230449	0,2208902	0,2187143	0,2165334	0,2144549	0,2122877	0,2101009	0,2077911	0,2055441	0,2033713	0,201162	0,1988885	0,1966624	0,1945471	0,1923133	0,1900399	0,1879581	0,1857187	0,1836691	0,1814203	0,1793364	0,1773307	0,1752731	0,1732476	0,1712211	0,1693356	0,1675189	0,165576	0,1637064	0,1619726	0,1601575	0,1584075	0,1566846	0,1549394	0,1533153	0,1516423	0,1500736	0,1485115	0,1471334	0,1456584	0,1441514	0,1428352	0,141521	0,1402784	0,1390058	0,1377432	0,1364503	0,135269	0,1339902	0,1327811	0,1316554	0,1305018	0,1294608	0,1284198	0,1273676	0,1262965	0,1251909	0,12431	0,1234692	0,1225125	0,1216634	0,1208687	0,1199048	0,1192021	0,118435	0,1176361	0,1169009	0,1161323	0,115426	0,114533	0,1138033	0,1129333	0,1122968	0,1115093	0,1107007	0,1098903	0,1091847	0,1083568	0,1076235	0,1069838	0,1062218	0,1055325	0,1048568	0,1042418	0,1034449	0,1028892	0,102196	0,1016514	0,1009441	0,1004881	0,09998319	0,09939687	0,09872722	0,09818262	0,09765942	0,09692884	0,09635958	0,09576976	0,09510148	0,09441446	0,09382792	0,09320784	0,09252801	0,09188192	0,09126525	0,09064509	0,09008875	0,08944044	0,08890837	0,08841339	0,08787487	0,08731929	0,08654615	0,086172	0,08556098	0,08516791	0,08462307	0,08411219	0,08356839	0,08296838	0,08243924	0,08193319	0,08151808	0,08089045	0,08054081	0,0800809	0,07963935	0,07934194	0,07868198	0,07829554	0,07769166	0,07716379	0,07664912	0,07610099	0,07564227	0,07521533	0,07456937	0,07409974	0,07360235	0,07300454	0,07272885	0,07228017	0,07195079	0,07116192	0,07067873	0,07066184	0,07007342	0,06951347	0,06899843	0,06897713	0,06846397	0,06825633	0,06770741	0,06725198	0,06683026	0,06653169	0,0660569	0,06556472	0,06533626	0,06481358	0,06432192	0,06395603	0,06346684	0,06325065	0,06280535	0,06256508	0,06216846	0,06186803	0,06132761	0,06115109	0,06064155	0,06033972	0,05989327	0,05962988	0,05919897	0,05889831	0,05855872	0,05800822	0,05784304	0,05746507	0,05694428	0,05689458	0,05623649	0,05595854	0,05560819	0,0553867	0,05509693	0,05473582	0,05451134	0,05415368	0,05357359	0,05339823	0,05306111	0,05284914	0,05271523	0,05225308	0,05197646	0,05162824	0,05127236	0,05091145	0,05065296	0,05053218	0,05026267	0,05014104	0,04962123	0,04946344	0,04910976	0,0486541	0,04851762	0,04823371	0,0481252	0,04780969	0,04780781	0,04740124	0,047004	0,04681177	0,04640462	0,04641389	0,04607015	0,04578819	0,04571189	0,04529366	0,04527522	0,04495651	0,04465866	0,04442721	0,04384179	0,04382569	0,0435158	0,04331806	0,04314388	0,04292274	0,04265013	0,04245938	0,04234244	0,04198031	0,04166881	0,04160457	0,04147351	0,04116519	0,0409231	0,04083893	0,04051711	0,0404263	0,0402494	0,04018089	0,03994786	0,03981731	0,03946325	0,03940469	0,03903173	0,03894827	0,03874382	0,03864162	0,03848179	0,03824791	0,03805725
