"customer";"location";"line";"beverage";"LG";"substance";"wl1";"wl2";"wl3";"wl4";"ncomp";"spc";"RMSE";"R2"
"PepsiCo";NA;NA;"Pepsi_Cola_Light";"1";"Acid";220;596;0;0;1;"1st";0,048;1
"PepsiCo";NA;NA;"Pepsi_Cola_Light";"1";"Aspartam";206;310;0;0;4;"1st";0,082;0,999
"PepsiCo";NA;NA;"Pepsi_Cola_Light";"1";"Coffein";240;310;0;0;4;"1st";0,065;0,999
"PepsiCo";NA;NA;"Pepsi_Cola_Max";"1";"Acesulfam";203;330;0;0;4;"1st";0,188;0,995
"PepsiCo";NA;NA;"Pepsi_Cola_Max";"1";"Acid";200;596;0;0;1;"1st";0,069;0,999
"PepsiCo";NA;NA;"Pepsi_Cola_Max";"1";"Aspartam";213;311;0;0;3;"1st";0,159;0,997
"PepsiCo";NA;NA;"Pepsi_Cola_Max";"1";"Coffein";213;311;0;0;3;"1st";0,204;0,996
"PepsiCo";NA;NA;"Pepsi_Cola_Twist";"1";"Acid";210;600;0;0;1;"1st";0,099;0,999
"PepsiCo";NA;NA;"Schwip_Schwap";"1";"Acid";220;596;0;0;1;"1st";0,022;1
"PepsiCo";NA;NA;"Schwip_Schwap_Light";"1";"Acesulfam";220;260;0;0;6;"1st";0,4;0,989
"PepsiCo";NA;NA;"Schwip_Schwap_Light";"1";"Aspartam";210;220;240;250;6;"1st";0,727;0,998
"PepsiCo";NA;NA;"Schwip_Schwap_Light";"1";"Coffein";230;240;280;290;2;"2nd";1,195;0,878
"PepsiCo";NA;NA;"Schwip_Schwap_Light";"1";"Koffein";230;240;280;290;2;"2nd";1,195;0,878
"PepsiCo";NA;NA;"Schwip_Schwap_Light";"1";"TA";279;350;0;0;1;"1st";0,079;1
"PepsiCo";NA;NA;"Schwip_Schwap_Ohne_Zucker";"1";"Acid";279;350;0;0;1;"1st";0,079;1
"PepsiCo";NA;NA;"Schwip_Schwap_Ohne_Zucker_Lemon";"1";"Acid";205;596;0;0;1;"1st";0,081;1
"PepsiCo";NA;NA;"SevenUp";"1";"Acid";215;305;0;0;1;"1st";0,047;1
"PepsiCo";NA;NA;"SevenUp_Light";"1";"Acid";220;596;0;0;1;"1st";0,165;0,999
